clade	inclusive_count	exclusive_count
auto.lineage4.8.1.1	222	49
auto.lineage4.8.1.1.1	61	38
auto.lineage4.8.1.1.1.1	23	11
auto.lineage4.8.1.1.1.1.1	12	12
auto.lineage4.8.1.1.2	46	10
auto.lineage4.8.1.1.2.1	20	20
auto.lineage4.8.1.1.2.2	16	16
auto.lineage4.8.1.1.3	34	17
auto.lineage4.8.1.1.3.1	17	17
auto.lineage4.8.1.1.4	14	14
auto.lineage4.8.1.1.5	18	18
auto.lineage4.8.1.2	11	11
auto.lineage4.8.10	254	32
auto.lineage4.8.10.1	64	15
auto.lineage4.8.10.1.1	35	6
auto.lineage4.8.10.1.1.1	29	29
auto.lineage4.8.10.1.2	14	14
auto.lineage4.8.10.2	93	21
auto.lineage4.8.10.2.1	32	0
auto.lineage4.8.10.2.1.1	17	17
auto.lineage4.8.10.2.1.2	15	15
auto.lineage4.8.10.2.2	27	16
auto.lineage4.8.10.2.2.1	11	11
auto.lineage4.8.10.2.3	13	13
auto.lineage4.8.10.3	38	19
auto.lineage4.8.10.3.1	19	6
auto.lineage4.8.10.3.1.1	13	13
auto.lineage4.8.10.4	12	12
auto.lineage4.8.10.5	15	4
auto.lineage4.8.10.5.1	11	11
auto.lineage4.8.11	148	24
auto.lineage4.8.11.1	78	9
auto.lineage4.8.11.1.1	47	47
auto.lineage4.8.11.1.2	22	22
auto.lineage4.8.11.2	19	19
auto.lineage4.8.11.3	27	27
auto.lineage4.8.12	237	23
auto.lineage4.8.12.1	79	9
auto.lineage4.8.12.1.1	43	16
auto.lineage4.8.12.1.1.1	15	4
auto.lineage4.8.12.1.1.1.1	11	11
auto.lineage4.8.12.1.1.2	12	12
auto.lineage4.8.12.1.2	13	13
auto.lineage4.8.12.1.3	14	14
auto.lineage4.8.12.2	30	16
auto.lineage4.8.12.2.1	14	14
auto.lineage4.8.12.3	35	11
auto.lineage4.8.12.3.1	11	11
auto.lineage4.8.12.3.2	13	13
auto.lineage4.8.12.4	12	12
auto.lineage4.8.12.5	22	10
auto.lineage4.8.12.5.1	12	12
auto.lineage4.8.12.6	12	12
auto.lineage4.8.12.7	12	12
auto.lineage4.8.12.8	12	12
auto.lineage4.8.13	323	34
auto.lineage4.8.13.1	83	52
auto.lineage4.8.13.1.1	31	31
auto.lineage4.8.13.2	106	12
auto.lineage4.8.13.2.1	38	11
auto.lineage4.8.13.2.1.1	14	3
auto.lineage4.8.13.2.1.1.1	11	11
auto.lineage4.8.13.2.1.2	13	13
auto.lineage4.8.13.2.2	24	1
auto.lineage4.8.13.2.2.1	12	12
auto.lineage4.8.13.2.2.2	11	11
auto.lineage4.8.13.2.3	17	17
auto.lineage4.8.13.2.4	15	15
auto.lineage4.8.13.3	42	6
auto.lineage4.8.13.3.1	36	9
auto.lineage4.8.13.3.1.1	12	12
auto.lineage4.8.13.3.1.2	15	15
auto.lineage4.8.13.4	34	13
auto.lineage4.8.13.4.1	21	21
auto.lineage4.8.13.5	11	11
auto.lineage4.8.13.6	13	13
auto.lineage4.8.14	117	28
auto.lineage4.8.14.1	76	29
auto.lineage4.8.14.1.1	36	36
auto.lineage4.8.14.1.2	11	11
auto.lineage4.8.14.2	13	13
auto.lineage4.8.15	348	25
auto.lineage4.8.15.1	88	27
auto.lineage4.8.15.1.1	26	26
auto.lineage4.8.15.1.2	17	5
auto.lineage4.8.15.1.2.1	12	12
